device_type,age,usage_hours,repairs,battery_health,performance_score,environment,manufacturer,price,last_update
TV,3.6766150682270693,9.062141313351757,1.1013681621947975,73.05991660858916,9.951676538780015,optimal,Samsung,561.128950928338,2
refrigerator,4.841086504566281,5.121750694606107,0.9678261922479081,38.28588664585653,3.112879769824948,optimal,Apple,221.95350212474543,53
tablet,12.0,7.330969653562282,0.08220338126571346,61.36377365247418,3.6303803556316474,moderate,Dell,544.7092137364153,9
refrigerator,3.6978575806730745,8.922448716595584,0.14529276843501046,43.786563480461446,5.359792911043749,harsh,Apple,241.42799264568626,31
refrigerator,5.766681899206751,4.881937725991845,0.0,45.62072251982849,8.544412649250924,moderate,Samsung,385.0040256166,29
laptop,4.631685450750702,2.0954260111685516,0.015403521884870817,67.6375933291197,10.0,moderate,Sony,766.7612962280671,31
tablet,2.881098171525661,1.0839299694886213,0.0,56.71174241958595,4.721631331834034,harsh,Apple,490.60119478983296,2
tablet,7.2632549706594185,9.644980054798872,0.8385067958376857,63.32946472795448,7.4239429665494585,harsh,LG,673.0932045135287,16
tablet,6.109416529962627,8.15172983004328,0.0,10.232155985216604,4.802556676195882,moderate,Dell,512.5249986605877,48
refrigerator,8.733081926999782,2.2385238295823897,0.06285918988011567,62.22343243607033,4.14258377526133,harsh,Samsung,224.00019621939848,14
TV,8.431733760990015,1.0368929904524469,0.1315443302280343,37.402996506012556,2.4342286458688838,optimal,Samsung,336.772045302455,21
tablet,8.702123157125987,15.558618756146636,0.9019701824406179,30.852630263038872,3.9210330502506396,optimal,Sony,348.8726630172657,33
refrigerator,3.245389881447019,3.598116618619046,1.8644012244276693,37.42861528028686,8.185618800368882,moderate,Apple,732.1842763525143,53
laptop,7.922882397609288,15.87003795137623,2.0047534652413,55.93668155091418,9.46790406260393,moderate,Dell,1047.8407598567335,45
TV,7.995814518870283,9.411935803941931,0.102962326756139,86.79119648071566,10.0,optimal,Dell,451.86777787260854,51
laptop,2.936811005379432,14.089098223114707,0.0,44.17911703782507,5.682487465921459,moderate,Apple,287.32726429224857,54
TV,5.044151273318281,8.014815668237517,0.0,71.47352039845464,9.750609955638549,moderate,Dell,270.44614862589657,12
refrigerator,1.6316637105630951,3.212418102723622,0.0,39.586940681395085,8.706580499697454,optimal,LG,803.9770219077494,17
smartphone,8.008867897140853,20.802712450921053,2.098770581245098,45.4162876171075,5.590015344443759,moderate,Apple,495.3397580989436,21
TV,7.995067408331921,4.844325479109796,2.0679366228373453,70.7636798758145,3.610273503228273,optimal,LG,292.2001320968589,45
laptop,10.291088397355066,11.743128233616856,1.0989221541727532,11.415029101272394,8.531316240717228,harsh,LG,495.0872777522749,14
refrigerator,5.313604476556963,13.979150947018288,0.13954986055775856,85.11337838857993,9.32275817013071,moderate,Samsung,847.0773614971195,14
TV,7.354408759691389,3.742077612783567,1.9443552798282746,66.41407873525695,5.2470359557851625,moderate,Dell,321.67776861054256,7
smartphone,8.963205303075926,10.810697501454694,0.0,12.63238241429716,8.389715115325666,optimal,Dell,214.21238858789891,60
smartphone,3.7383254143359252,9.82070995398228,0.7472511379620468,39.672148837046,5.925445081686221,moderate,Sony,272.6451333909341,46
tablet,3.282104576046902,15.891400023502278,0.0,26.343275476670243,9.846909220924703,optimal,Dell,437.1428810958392,27
tablet,3.8313443967715055,17.245663025785674,0.0,25.223740785530403,6.546729709344034,moderate,Apple,270.85044425817347,58
laptop,4.952113595384336,2.6475608165920996,0.0,41.88890826152722,4.899366919672231,moderate,LG,296.85578111960945,47
TV,3.3883369330615403,8.41402963298365,0.08670327549592242,55.55206332892976,2.805976530719284,moderate,Apple,206.16394587618242,19
TV,3.9605168701163285,1.05396775347918,0.8376928219164332,26.701407799229038,4.776969745077088,moderate,Dell,163.46101691462857,59
tablet,8.642745507099736,5.121378891167421,0.8152490554747476,47.27764576982332,9.529445181347732,optimal,Apple,318.0094898991103,57
TV,5.710960105517122,24.0,0.09056739262108553,13.113682779001058,1.5408222634109892,moderate,Dell,868.2756791436732,43
TV,6.920095120978308,2.846394708981268,0.12919564962710167,38.227597318173565,3.807305877015564,moderate,Sony,123.99766061778962,38
